,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53
dyf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4956626,0.0,0.0,0.0,0.0,0.0
C29F5.1,0.0,0.0,0.0,0.47018993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6056519,0.0,0.0,0.0,1.6772895,2.144542,0.0,0.0,0.0,1.6926202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
set-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7975913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6926202,0.0,0.0,1.1138338,0.0,0.0,0.0,0.0,0.0,0.0
deg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbxc-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25D7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6433854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lev-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74343914,0.0,0.0,0.0,0.0,1.6425756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3404826,0.0,1.2913224,1.6056519,0.0,0.0,0.0,0.0,0.0,0.0,1.4129282,0.0,1.6926202,0.0,0.0,0.0,0.0,1.3810247,0.0,0.0,0.0,0.0
cpr-6,12.52784,31.07293,16.051365,15.516268,30.025286,13.035686,6.776215,46.801872,77.25322,23.777174,129.26906,17.455214,26.834831,15.673981,41.39073,45.91735,6.2218075,31.8713,58.270428,4.4606347,33.197525,66.71721,21.571095,31.112997,31.208937,20.02002,19.462826,10.191949,64.82982,54.55112,21.044577,21.344717,13.404826,25.02888,6.4566116,24.084778,17.507002,18.185125,0.0,3.354579,32.168133,51.68071,18.368067,14.790468,8.463101,73.31378,54.542355,16.707506,31.408913,13.810247,23.846155,18.126047,20.115664,29.863482
lips-10,0.0,0.0,0.0,0.47018993,0.0,0.0,0.0,0.0,1.7167382,0.0,0.0,0.91869545,0.0,0.0,0.0,11.978439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6986581,0.0,0.0,1.9131433,1.7787265,0.0,1.9252985,6.4566116,0.0,1.7507002,0.0,0.0,0.0,0.0,0.0,0.0,1.6433854,8.463101,0.0,13.635589,1.1138338,0.0,0.0,0.0,0.0,0.0,0.0
gpdh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.767315,0.0,4.0252247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.485363,0.0,0.0,0.0,0.0,0.0,0.0,1.9131433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.240252,0.0,0.0,0.0,23.460411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y62F5A.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5673981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8494544,1.6772895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1138338,0.0,1.3810247,0.0,0.0,0.0,0.0
lntl-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95337975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7044486,0.0,0.0,0.0,0.0,1.3943112,0.0,0.0
